Parameter,Year,Lower95,Median,Upper95,Mean,SD
N[1],1990,261,264,269,264.2779,2.28826997153936
N[2],1991,266,271,275,270.902333333333,2.46412870738627
N[3],1992,276,281,285,280.9723,2.39204029478861
N[4],1993,273,276,280,276.580233333333,2.00002398704462
N[5],1994,284,286,289,286.303366666667,1.54523404607979
N[6],1995,290,292,294,292.009733333333,1.38584605248861
N[7],1996,300,303,306,303.3053,1.68795345993191
N[8],1997,311,313,316,313.465133333333,1.57463232675262
N[9],1998,310,313,315,312.7088,1.58224081907074
N[10],1999,309,311,314,311.582833333333,1.57620476237617
N[11],2000,307,308,311,308.397133333333,1.19278352603209
N[12],2001,331,332,334,331.9828,0.991767923182526
N[13],2002,344,345,347,344.970133333333,1.00280016412104
N[14],2003,358,359,362,359.428166666667,1.16536914397554
N[15],2004,366,367,370,367.601866666667,1.1919747798023
N[16],2005,390,391,393,391.286566666667,1.03154334936134
N[17],2006,400,402,404,401.8567,1.27640879709986
N[18],2007,411,412,414,411.935633333333,0.953128470189046
N[19],2008,430,431,433,431.286633333333,1.04347702116466
N[20],2009,460,461,463,461.195833333333,1.0794079285754
N[21],2010,473,476,479,475.6489,1.65559258964701
N[22],2011,478,481,484,481.124566666667,1.72912775939658
N[23],2012,468,473,477,472.896366666667,2.49496178194483
N[24],2013,472,478,484,478.246533333333,3.15054791752613
N[25],2014,467,474,479,473.806833333333,3.1446435301403
N[26],2015,461,469,478,469.493433333333,4.51997469217799
N[27],2016,446,453,460,453.328666666667,3.71617705282617
N[28],2017,425,430,435,430.4079,2.63692043268512
N[29],2018,386,388,392,388.385066666667,1.76569936626557
N[30],2019,371,374,377,373.746233333333,1.60542467647513
N[31],2020,344,348,353,348.253233333333,2.56355065068357
N[32],2021,333,340,347,340.3725,3.75063718932897
NM[1],1990,142,146,150,145.715766666667,2.25609125343229
NM[2],1991,144,149,153,149.352366666667,2.30866095303506
NM[3],1992,153,157,161,156.592966666667,2.29509610134871
NM[4],1993,153,157,161,157.529566666667,2.1063887836799
NM[5],1994,157,162,165,161.764433333333,2.10103676567988
NM[6],1995,162,165,169,165.281133333333,2.01293296266732
NM[7],1996,165,169,173,169.3142,2.1400539761964
NM[8],1997,172,177,180,176.704166666667,2.15299879679859
NM[9],1998,175,179,183,178.909433333333,2.17092640200837
NM[10],1999,176,180,184,180.236266666667,2.14143197882154
NM[11],2000,177,181,184,180.7837,1.90683914140226
NM[12],2001,188,192,196,192.1351,2.08831511638789
NM[13],2002,194,199,202,198.606233333333,2.12461720760035
NM[14],2003,206,211,214,210.595933333333,2.12140208520587
NM[15],2004,213,218,221,217.567866666667,2.11710734738217
NM[16],2005,225,229,233,228.829066666667,2.27830817753597
NM[17],2006,236,240,244,239.835833333333,2.27493336524013
NM[18],2007,246,250,254,249.9565,2.14462764388701
NM[19],2008,257,261,265,260.8508,2.2640178634225
NM[20],2009,269,273,277,273.313766666667,2.09888795712812
NM[21],2010,275,280,284,279.557166666667,2.39922011928771
NM[22],2011,276,281,285,281.2489,2.38126110919172
NM[23],2012,273,278,283,278.077133333333,2.70006668946524
NM[24],2013,272,279,284,278.999066666667,3.09178229604669
NM[25],2014,274,280,286,280.4782,3.11959118394892
NM[26],2015,268,276,283,275.9084,3.90891102817407
NM[27],2016,261,266,273,266.589766666667,3.31389619770382
NM[28],2017,245,251,256,251.205466666667,2.86540115859581
NM[29],2018,223,227,232,227.275666666667,2.53019523986206
NM[30],2019,213,217,222,217.359333333333,2.47962722479167
NM[31],2020,195,201,206,200.670733333333,2.96923289875053
NM[32],2021,190,197,203,197.475966666667,3.31363673403846
NF[1],1990,114,118,123,118.562133333333,2.45893086393023
NF[2],1991,117,121,126,121.549966666667,2.581677523275
NF[3],1992,120,124,129,124.379333333333,2.5159194244995
NF[4],1993,115,119,123,119.050666666667,2.31869476942022
NF[5],1994,120,124,128,124.538933333333,2.15148905622614
NF[6],1995,122,127,130,126.7286,2.1275242854829
NF[7],1996,130,134,138,133.9911,2.2796039151134
NF[8],1997,132,137,141,136.760966666667,2.44918279202823
NF[9],1998,129,134,138,133.799366666667,2.43092093209717
NF[10],1999,127,131,135,131.346566666667,2.25303367727025
NF[11],2000,124,128,131,127.613433333333,1.98201845571483
NF[12],2001,135,140,143,139.8477,2.11202589909466
NF[13],2002,142,146,150,146.3639,2.16692561990979
NF[14],2003,145,149,153,148.832233333333,2.24537800892611
NF[15],2004,146,150,154,150.034,2.27249117501873
NF[16],2005,157,162,166,162.4575,2.34205961882028
NF[17],2006,157,162,166,162.020866666667,2.42292390874424
NF[18],2007,158,162,166,161.979133333333,2.28712460238916
NF[19],2008,165,170,174,170.435833333333,2.32838928992664
NF[20],2009,184,188,192,187.882066666667,2.16869742099699
NF[21],2010,191,196,200,196.091733333333,2.40167523415495
NF[22],2011,195,200,204,199.875666666667,2.48328011137674
NF[23],2012,189,195,200,194.819233333333,2.82025209386525
NF[24],2013,193,199,205,199.247466666667,3.11239722445122
NF[25],2014,187,193,199,193.328633333333,3.1666019186418
NF[26],2015,187,194,200,193.585033333333,3.4453009063796
NF[27],2016,180,187,192,186.7389,3.18258769224258
NF[28],2017,173,179,184,179.202433333333,2.87460075892398
NF[29],2018,157,161,166,161.1094,2.49494939142037
NF[30],2019,152,156,161,156.3869,2.53698435147979
NF[31],2020,141,148,152,147.5825,2.82963966705212
NF[32],2021,137,143,149,142.896533333333,3.18974927942167
NumAF[1],1990,54,54,55,54.0635333333333,0.247720732023499
NumAF[2],1991,58,60,61,59.5697,0.921431971387975
NumAF[3],1992,63,65,67,64.7363,1.24247619758692
NumAF[4],1993,61,63,66,63.4444,1.36702996761754
NumAF[5],1994,70,72,75,72.4433333333333,1.29248258760555
NumAF[6],1995,78,80,83,80.37,1.49190287635391
NumAF[7],1996,84,87,90,86.8667666666667,1.74510278350963
NumAF[8],1997,87,90,94,90.305,1.92866940113004
NumAF[9],1998,90,94,97,93.9586333333333,1.83649155246164
NumAF[10],1999,94,97,100,97.3325333333333,1.760357409968
NumAF[11],2000,93,96,99,95.7853333333333,1.79945162658723
NumAF[12],2001,94,97,100,96.6857666666667,1.73222133841139
NumAF[13],2002,97,100,103,99.7484,1.72058016955638
NumAF[14],2003,93,97,100,96.7037,1.93567332067513
NumAF[15],2004,99,102,106,102.120366666667,1.99273954626594
NumAF[16],2005,103,107,110,106.8209,1.94220208225035
NumAF[17],2006,96,100,104,100.057733333333,2.13737045782226
NumAF[18],2007,95,100,103,99.8156666666667,2.11686181072039
NumAF[19],2008,100,104,108,103.925133333333,2.12416541685894
NumAF[20],2009,112,116,120,116.112066666667,2.22695750001636
NumAF[21],2010,114,119,123,119.4356,2.34923461367932
NumAF[22],2011,116,121,125,121.262966666667,2.42797824705409
NumAF[23],2012,115,120,125,120.0833,2.61431742497348
NumAF[24],2013,123,128,133,128.2681,2.73690922010017
NumAF[25],2014,124,129,134,128.8907,2.75343534943909
NumAF[26],2015,126,131,137,131.145966666667,3.05854631414022
NumAF[27],2016,126,132,137,132.2851,2.84070771299636
NumAF[28],2017,132,136,141,136.381466666667,2.56132163693665
NumAF[29],2018,125,129,133,129.1434,2.14733714366428
NumAF[30],2019,127,131,135,131.1146,2.1286500914211
NumAF[31],2020,116,120,124,119.907333333333,2.293132102035
NumAF[32],2021,117,122,127,122.300066666667,2.77556302766836
NumAFW[1],1990,30,30,31,30.0635333333333,0.247720732023499
NumAFW[2],1991,30,32,33,31.5697,0.921431971387975
NumAFW[3],1992,36,38,40,37.7281,1.23920199216508
NumAFW[4],1993,47,49,52,49.4429,1.36669986425354
NumAFW[5],1994,56,58,61,58.4427666666667,1.29222547327392
NumAFW[6],1995,65,67,70,67.3696666666667,1.49176206794442
NumAFW[7],1996,58,61,64,60.8247333333333,1.73244960723545
NumAFW[8],1997,49,52,56,52.2729333333333,1.92167387709393
NumAFW[9],1998,67,71,74,70.9294,1.82960666684177
NumAFW[10],1999,85,88,91,88.2980333333333,1.75230661838572
NumAFW[11],2000,88,91,94,90.7712333333333,1.7957746626763
NumAFW[12],2001,62,65,68,64.6319333333333,1.71575786648081
NumAFW[13],2002,51,54,57,53.6812333333333,1.69948543798234
NumAFW[14],2003,56,60,63,59.6215,1.91432143875727
NumAFW[15],2004,65,69,72,68.9183333333333,1.94195509608454
NumAFW[16],2005,58,62,65,61.6915666666667,1.9086706489973
NumAFW[17],2006,51,55,58,54.7470333333333,2.06503833983788
NumAFW[18],2007,58,61,65,61.5076666666667,2.04970272599005
NumAFW[19],2008,57,60,64,60.5512333333333,2.03978279138166
NumAFW[20],2009,52,55,59,55.5213333333333,2.03145656678855
NumAFW[21],2010,58,63,66,62.5627,2.10771996703752
NumAFW[22],2011,75,79,83,78.6278,2.24014161036332
NumAFW[23],2012,88,93,97,92.9197,2.33714226876888
NumAFW[24],2013,96,101,105,101.1521,2.4779366945792
NumAFW[25],2014,92,97,101,96.9297,2.46818981753143
NumAFW[26],2015,96,101,106,101.333,2.71041618179373
NumAFW[27],2016,95,99,104,99.4085,2.55506921549232
NumAFW[28],2017,113,118,122,118.1042,2.3828970393081
NumAFW[29],2018,118,121,125,121.549033333333,1.93841541317456
NumAFW[30],2019,118,122,125,122.053833333333,1.97352437671907
NumAFW[31],2020,98,102,106,102.040866666667,2.14310126024319
NumAFW[32],2021,87,92,97,92.5487666666667,2.65677569510965
